description_no,listing_id,description
141,1789341,"Modern Classic fully furnished private home.  Newly remodeled.  New washer/dryer and refrigerator.  Hardwood floors. WiFi. Sweet Modern Classic Home in the Ballard area. This cozy Cape Cod exudes charm as you enter through the original columned residence.  The living room overlooks a calm quiet extremely comfortable Seattle neighborhood with pacific northwest foliage and the bedroom overlooks a fenced garden yard area. Completely remodeled, fresh paint, beautifully refinished hardwoods, luxurious travertine shower, updated lighting, completely redone kitchen and bath.  Clean, fresh, with everything you need to enjoy Seattle comfortably in a neighborly fashion.  Enter into a living room, enjoy the bright dining nook, bright kitchen and living room from the garden.  1 bd/1bth fully furnished home, with plenty of storage closets throughout. Full washer/dryer in unit. We are very close to the Ballard Market (less than 1/2 a mile) along with many other cafe's and restaurants.  All linens, b"
142,4672934,"Welcome to the heart of the 'Ballard Brewery District'. Walking distance to 7 breweries, as well as the heart of downtown Ballard. Modern, free standing townhome, 3BR, 5 Beds (One King, One Queen, Two Twins, One Full). 2.5 bathrooms. Multiple LED TVs Welcome to the heart of the 'Ballard Brewery District'. Within walking distance to 7 breweries, as well as the heart of downtown Ballard. Modern, free standing townhome with outdoor furniture, as well as a two Queen and one King bed. 2.5 bathrooms, 6 TVs, and everything else you would need for a stay. Kitchen is fully equipped with granite countertops, as well as anything you would need to cook a full meal, or you could enjoy many of the wonderful restaurants in the area. Less than a two block walk to a bus to downtown Seattle, or hop. House is about 40 minutes north of Seatac Airport, 10 minutes north of downtown Seattle. The master bedroom has a king size bed, second bedroom has a bunkbed with a Full+Twin, as well as a Twin trundle bed t"
143,4550099,"Brand-new 3BR/3BA townhome in the Ballard neighborhood of Seattle. Rooftop patio with a 360 degree view of Seattle including Mt. Rainier and the Cascades. Brand-new, 3-story, 3BR/3BA townhome with modern appliances and furnishings. The guest bedroom doubles as a workout area thanks to the queen sized murphy bed that hides against the wall. The bottom-floor also has a nice little outdoor patio.  Located two blocks from a 15 minute Rapid Ride to downtown Seattle, this brand-new townhome is also walking distance to the bars on Ballard Avenue. Take a 10 minute drive to Green Lake, Gas Works Park, or Golden Gardens Park, all of which are great locations for an afternoon picnic. Take the kids to Woodland Park Zoo, which is only a 5 minute drive away, or to see the salmon at the fish ladder at Shilshole. 10 minutes by car or cab will also take you to the highly rated Fremont Brewery.The Rapid Ride D-line picks up two blocks from the house and takes you right past the Space Needle and into dow"
144,1198799,"You'll have the first floor of our Ballard townhome all to yourself with living room and kitchen upstairs. It's just a 15 minute walk from downtown Ballard with easy bus access to downtown Seattle and neighboring Fremont and Wallingford.       Clean bedroom with private .75 bath on the first floor of our townhome.  You'll have access to our little garden directly from your room.  Our room is perfect for couples or single travelers. The bed in the room is expandable from twin size to queen. Just a few blocks from the local supermarket and half block to the express bus headed to downtown Seattle. We're also conveniently located near bus lines heading to Fremont, Wallingford, and University District.   The surrounding neighborhood is one of Seattle's most desirable neighborhoods. It's also home to some of the best craft beer and coffee in the city. You'll have the whole first floor with connected garden to yourself.  The living room and kitchen are available for you to use as well.  Fast "
145,5308429,"    Spacious top floor all to yourself in a modern Craftsman home. Includes a private office area, walk-in closet, and bathroom. Free use of well-stocked kitchen, washer+dryer, and garage gym. Access to Ballard on foot. Quick 15 min drive/bus downtown.    Enjoy the following features in your private, upstairs top story:    â€¢ Three skylights with automatic, solar powered shades--press one button to open them for light during the day and another for darkness at night    â€¢ Bathroom with dual shower heads and floor radial heating to keep your toes warm    â€¢ An adjustable thermostat space heater which will allow you to set the temperature to your own preference My house is three stories with four bedrooms, and I have 2 other very friendly, courteous roommates who I share the space with. My roommates and I would be glad to share the following with you:    â€¢ A private driveway and plenty of street parking    â€¢ A fully-loaded garage gym complete with a sizable collection of free weights (with "
146,2769088,"The house is split into three units. I live in the back upstairs unit. On the main floor is the sunroom living room and the rest is upstairs. What makes this place for me is the roof top view.  Watching the sunset behind the Olympics is one of the main reasons why I love this city.  I am an artsy gal and have lots of art projects happening in and around the house. One of them being the mobile couch in the living room. The couch is set on a mobility scooter motor and is drivable if you know the code.  Other quirks to the house are the costumed mannequins and a living roof garden.   Guest will have access to the whole back loft of the house. This includes first floor sunroom and laundry and second floor kitchen, bath, 2 bedroom, and rooftop deck. Feel free to pick from the garden on the roof or grill up on the deck. Enjoy the afternoon sun on the mobile art car couch and plug in your phone to play off its speakers.  Im happy to offer advice on places to go and things to do. I'd like my g"
147,7603135,Enjoy this quintessential Ballard bungalow. There are two bedrooms and a fully stocked kitchen. Spend the evening on our backyard patio or Exploring nearby Ballard or Phinney neighborhoods.
148,9374365,"Heart of Ballard new townhome. Cozy room with full size bed. Lots of light. Large well-stocked kitchen, plenty of space in common areas. Shared full bath with master bedroom , extra shared 1/2 bathroom available on floor below. Lot of street parking. It's a beautiful brand new townhouse. The living room and kitchen pictures in the listing are with staged furniture. I have other furniture that is acceptable, but not as fancy looking. The house is slowly being updated with newer, more modern furniture, so please keep that in mind when you book.  Free Amazon Video available on TV. Extra queen air mattress available for extra guests. There are 2 people staying on the first floor that will share the common areas. They are friendly and will just keep to themselves. I only rent one room at a time, so if you rent this, I will be marking all my other listings as unavailable. I can provide additional services - Breakfast - 8$ per person Pickup from airport - 1 person only (25$) Private parking s"
149,6106498,"Private room comfortably accommodates singles or couples. We are within walking distance to charming downtown Ballard or a 5 minute drive to Green Lake. We offer the comforts of a residential neighborhood, with major bus lines  right into downtown. Our home is perfectly nestled between the trendy Fremont, Phinney and Ballard neighborhoods. We offer the comfort of a residential neighborhood with walking access to all three must-see destinations in Seattle. Our home is bright and spacious with a yard in the front and a deck and fish pond in the back. We moved in November 2014 and have been slowly making it our own with bright colors and DIY art on the walls. Guests will have their own private room with shared used of the bathroom with us. We are flexible in terms of bathroom use and will defer to guests' schedule. We have two shelves in the bathroom reserved just for guests. In addition, guests are invited to chill on our back patio that overlooks a fish pond and even use the grill if th"
150,9331449,
151,8799162,"Located in the friendly Ballard neighborhood and just two blocks from the Woodland Park Zoo, our studio apartment offers all the amenities of home. It is outfitted with a brand new king size memory foam mattress, a full bathroom, and its own kitchen."
152,4317390,"Charm and comfort in artsy Ballard/Fremont, just north of downtown Seattle! Privacy & room to spread out. Super convenient area: walk or bus to great restaurants/cafes, ""brewery district"", grocery stores, shops, and live music! Centrally located, this tidy home is set up to make your stay comfortable in a safe and walkable neighborhood. Nestled between the wonderful neighborhoods of Ballard, Fremont, and Woodland Park/Phinney/Greenlake, and 1 block from great bus lines straight to Downtown and the University District. This location is about a 5 min drive to most of our great Seattle area attractions, and about a 20 min drive to the airport and East-side suburbs. Great spot to enjoy all of Seattle's attractions! This immaculate one story home plus basement has been set up with comfortable furnishings. This little home has been thoughtfully furnished to make the best use of the central living room/kitchen space while providing a variety of cozy little separate spaces for sleeping. House "
153,3884851,"Great room available in Ballard neighborhood in Seattle.  Private room with Queen bed, very clean.  Apartment has kitchen, large bathroom, wifi, cable TV, use of laptop.  One block to buses, 10 minutes to downtown.  Shops and grocery stores 2 blocks. This is your own private bedroom in an apartment in the neighborhood of Ballard, not far from downtown Seattle. Buses one block away, ten minutes to downtown Seattle.  Parks, beaches, stores, cafes, cinema, cultural arts are VERY close, you can walk or bus to everything!  Grocery and all kinds of stores within 5 minute walk.  Includes Wifi, cable tv, use of kitchen, and a cat :). Two night minimum please. Guests will have access to free WiFi, fully stocked kitchen (both cooking utensils and serving dishes), a clean full-size bathroom with tub, plus guests can use the living room (has cable TV) and dining room.  I will not do your dishes, though:) I'll interact as much (or as little) with my guests as they would like.   If my guests inquire"
154,3155785,
155,9368517,"Our little big house, is located in the Fremont neighborhood. We have a cozy 3 bedroom home with 2 bathrooms and an office.  We are close to all that Seattle has to offer. Our friendly, yet aloff cat, Luna, will be here to greet you. Our cozy home is located in a quiet neighborhood close to everything Seattle has to offer. We have a queen sized bed and two twins. A queen sized air mattress is also available. Very little in person interaction. Available via email, text or phone."
156,5643240,"Enjoy the comfort and quirks of Ballard in a cozy and clean 1bd garden apartment on a block of storybook brick homes. Easy walk to restaurants and activities. Quick commute by car, bus or bike to downtown, South Lake Union, or UW.  This is a modest but clean basement apartment in a family-occupied home. The space includes one bedroom, small and open living room and kitchen with eating space for two, and 3/4 bath. There is off-street parking from the alley and room for bike storage in the garage. Guests are welcome to use the backyard deck and patio -- especially nice on summer evenings to take in the sunset views!  We are in and out of the house a lot with work, school, and kid activities--but we are always available by text if you need anything!  Ballard is such a fabulous neighborhood! Our house is close enough to enjoy Ballard's shops, restaurants, and easy bus commutes to everywhere---yet its quiet street of single-family homes makes it removed enough for peaceful evenings and rest"
157,5042014,"Very lovely and cozy room for one. Conveniently located in the heart of the historic Ballard neighborhood in northwest Seattle. A two-minute walk to Rapid Ride bus route whisks you to Downtown or North Seattle. Very lovely and cozy room for one. Conveniently located in the heart of the historic This location is amazingly convenient, you will be close to all of the shops and restaurants on Market Street, as well as the Ballard Locks, Fishermen's Terminal, Golden Gardens Park and Green Lake. And it's just a short hop to the University of Washington.       The room itself, and that goes for the entire house, is filled with original art works. The owner, a professional oil painter, uses her home as a gallery and studio. You can get acquainted with the local arts scene in the comfort of your own room.        The room is private, on the lower level of a three-story townhouse, and has its own bathroom and shower, refrigerator, microwave oven, electric tea kettle, Plus, there's private access "
158,7724630,The room offered is a soft blue inside with a glass door that leads to a porch with stairs down to our garden and raspberry bushes. The rest of the apartment is open to you. We will leave out towels. There is laundry in our apartment and refrigerator space.
159,9449437,"Heart of Ballard new townhome with 4 BRs + balcony with brilliant view of Mt. Rainier on a clear day. Plenty of light, large well-stocked kitchen, plenty of space. 2.5 Bathrooms. Minimalist, modern decor. 1 Off-street parking spot, plenty on street. It's beautiful brand new townhouse, tastefully decorated in a modern style. It has large common areas, and a fabulous kitchen. The entire home is available for guess access. There is a small backyard, and garden area around the townhouse. There is also an off-street parking spot available in the middle of the property. I am available via phone/text at all times during the day, though please give up to an hour to respond to non-emergency inquiries. I can also give you a detailed guide to Seattle as well as tons of great food/drink recommendations depending on where your interests lie. I can be completely hands-off of as well, if that is what is desired. Prices are set by a dynamic pricing service that changes prices every midnight based on s"
160,3053237,"Ten microbreweries in just five square miles of my home. Downtown Ballard is a short walk away. Large south facing sunny porch. Foodies will love the many delicious restaurants, coffee shops, and cupcake stops. Rental comes with 2 cruiser bicycles.  My home was built in 1903 during the boom of ethnically Scandinavian seafaring community! I have lived in my home for 10 years where I have modernized and remodeled my home to a cozy dwelling.  GueEntire homest have access to large south facing porch. 2 vintage cruiser bicycles. Private parking spot in front of garage on street level. Cozy inside home with wifi, stereo, gas fireplace, office nook, modern kitchen with gas stove, dishwasher, bedroom with ceiling fan, modern bathroom with on star never not hot water, mudroom with washer/dryer with utility sink and small backyard.  I can stash a key for you or meet you day of. Its your rental if you have question during your stay i am a phone call/text or email away.  Walking or biking is my pr"
161,8132347,"Two story duplex, with one bedroom with a Queen bed and bath upstairs and one bedroom with a Queen bed and bath downstairs.  There's another small room with another small bed that sleeps one.  There's a pull-out couch upstairs that sleeps two and a pull-out couch downstairs that sleeps two. There's a entertainment room downstairs with a TV and an upstairs living room with a TV.  We have a spacious backyard with a BBQ. Wifi and cable. There's parking right out side the house on the street."
162,63733,"The hostess introduced the Bed and Breakfast concept to the Northwest in 1981 and has since made Thousands of guests happy while providing a superior lodging, loved by all who return year after year.  Welcome! You have found the Best Value in Seattle.  We have been hosting guests from around the world for many years.The guests enjoy a private entrance, offstreet parking, a 720 sq.ft. apartment with a Queen bedroom with room for two, not more.  A new Beautyrest Mattress will help you have a restful sleep. It is the first level of a large 1918 Craftsman house with a desk area , free Wi-Fi, cable flatscreen TV, daily maid service, fresh flowers, fine bathroom amenities,a tiled shower, chocolates on your down pillow.  a kitchenette, coffee and teas provided .  Two grocery stores are within one mile from the suite.There is NO breakfast food provided. Hair dryer, iron and ironing board, a library of local guide and other books as well as help from the hostess on what to do and see and  Origi"
163,2039149,
164,227636,"The apartment is located in a friendly neighborhood with great restaurants and breweries. The apartment is cool in the Summer and cozy in the Winter. Wifi and smart tv with Netflix and Directv with NFL Sunday Ticket for your pleasure. Your apartment is 800 sq ft large and immaculately clean! Bedroom features a queen size pillow top bed with plenty of pillows and 300 thread count sheets, walk-in closet and a large window that opens to the private yard. Living room has a Dania sofa bed to snuggle up near the fireplace, this is a real working fireplace! We also provide a 3"" memory foam topper for the sofa bed which makes it super comfortable as a second bed. The armoire houses a brand new 32"" LED SMART TV with Netflix streaming through wifi (included at no charge) and Directv with NFL Sunday Ticket. Attached blu ray DVD player picture is amazing! Bathroom features a large Jacuzzi tub/shower. We provide complimentary body wash, towels, hand soap and toilet paper (up to a weeks worth). The "
165,3689119,"This 300 sq foot studio is located in our backyard garden in Ballard. Decorated with an eclectic flair with a private garden sitting space. Easy access to public transit has street parking and walking friendly. Great location for a quiet visit! Space Make yourself at home in our private backyard 300 sq. foot studio in east Ballard (lower Phinney). This eclectic space reflects our passion for travel and simplicity. Located in our backyard garden this detached studio has a comfortable double bed (linens, towels, shampoo, body lotion, hair dryer, yoga mat, and iron included). This open floor plan with bathroom with shower (no tub) and kitchenette (includes, coffee pot, single electric burner, microwave, toaster oven, small frig and tea pot, coffee and tea). We have Wi-Fi access and a monitor available to download/stream films or TV shows from your personal computers. We live in the front house and offer a sitting area in the garden just outside of the studio doors.  We recommend the studi"
166,1179538,"Heart of Ballard brand new townhome 2 Bedrooms (1 queen, 1 full size), plenty of light. Large well-stocked kitchen, plenty of space. 1 Private full bathroom. Common areas shared with 2 other people on 1st floor (1/2 extra bath). It's a beautiful brand new townhouse. The living room and kitchen pictures in the listing are with staged furniture. I have other furniture that is acceptable, but not as fancy looking. The house is slowly being updated with newer, more modern furniture, so please keep that in mind when you book.  Free Amazon Video available on TV. Extra queen air mattress available for extra guests. There are 2 people staying on the first floor that will share the common areas. They are friendly and will just keep to themselves. I only rent one room at a time, so if you rent this, I will be marking all my other listings as unavailable. I can provide additional services - Breakfast - 8$ per person Pickup from airport - 1 person only (25$) Private parking space - 5$ All common a"
167,6823781,"Enjoy this spacious private apartment while exploring Seattle. Conveniently located between Fremont & Ballard and minutes away from Green Lake, Golden Gardens, The Zoo. Great walkability and an easy 10 minute bus ride to/from downtown. We kindly request a two night minimum and encourage you to have a full profile with photo.  We'd appreciate knowing a little bit about you and the reason for your visit, especially if you do not have a full profile or reviews from other hosts established. Thank you for your understanding.  Daylight lower level 1 bedroom apartment with separate entrance, boasts 650sq ft. of living space with a full kitchen, including coffee maker (with coffee).  Offering a comfy queen bed plus a convertible sofa.  The sofa bed will sleep 1 adult comfortably.  We also have an air mattress on hand which will sleep 1 guest (if needed). This is a completely separate apartment with the only shared space being the laundry room access. Plenty of amazing bars, restaurants, coffee"
168,2284536,"This 1940s one bedroom duplex is located in East Ballard, mere feet from bus lines. Sleeps two or four with full size sofa bed. Walking distance from Ballard Market, Veraci Pizza, Slate Coffee, a super hip pub and 4 different Micro-Breweries. This 1940's cottage has all original fixtures and finishes. Furnished with mid-century and vintage pieces, including original Nelson Bubble Lights. Fully stocked kitchen, including locally roasted coffee and a few beers in the kitchen. Queer friendly. Bedroom with queen foam mattress, custom headboard and large closet. Living room with full size sofa bed. Vintage stereo with MP3 hookup. Full kitchen. Private patio. Washer and dryer onsite, including detergent. We use all eco-friendly cleaning products. We live in the neighborhood and are available if needed. Ballard is quintessential Seattle. Only 10 minutes from downtown, but feels like it's own city. Great shopping, nightlife, and some of the best restaurants in the country. Home to 10+ award wi"
169,5143441,"This charming, comfortable old world apartment - full of unique details - boxed ceilings, vintage detailing, wood floors throughout - will be your haven after a day of visiting Seattle. My home has original, 100 year old wood detailing throughout, window seats and boxed ceilings. It is a beautiful space.  I'll provide you with delicious baked goods, yogurt, juice, milk, coffee and tea when you arrive.  (This is a completely separate apartment with the only shared space being the laundry room.) My quiet neighborhood location is close to bus routes, the Burke Gilman bike trail and is just a 20 minute walk to downtown Ballard. In Ballard you'll discover fabulous bars and restaurants, a wonderful Sunday farmers market, a cinema, our library and much, much more. To the east is Fremont which boasts everything from a statue of Lenin to our very own troll. From my home you can access all the fantastic Ballard restaurants and new neighborhood gems that seem to pop up daily.  Also Fremont, (5 mi"
170,5749958,"Centrally located quintessential Ballard Craftsman home. Walk to the ever growing and changing Ballard Ave, 5 local breweries, several new and fun restaurants, our neighborhood park or Woodland Park Zoo.  And, downtown Seattle is 10 minutes away! This is a beautiful home with guest access on the private, entire main floor. There are two bedrooms, one bathroom, a living room with a pull out sleeper (memory foam mattress!), living room, full kitchen, and linen closet. The cosy living room has a gas fireplace, a large swing out TV that's flat against the wall, a couch, and chase. The kitchen includes an island, coffee maker, toaster, blender, fridge with purified water, microwave, d/w, and oven. Ask us about our wine and craft brewery add-ons!  We've been fortunate enough to share many glasses and stories with some of the areas great wine makers and brew masters.  We'd love to give you the Washington wine and brewery experience, and guide you through some delicious juice and hops. Live th"
171,9116815,"Our basement apartment is a lovely home away from home. We are walking distance to 16 breweries, wineries and distilleries as well as the great neighborhoods of Fremont and Ballard. Easy to get to downtown, the waterfront, and South Lake Union. Plenty of parking and kid friendly."
172,7731836,"It has a southern facing view so it has the optimal advantage for daylight.  A few block from tons of shops, restaurants, breweries, distilleries, parks, and music venues.  The neighborhood is classy and well connected with major and minor bus lines."
173,10262971,
174,1407502,
175,8817038,"Great view of the Olympic Mountains. The hill slopes away offering an overview of the neighborhood to the west. On sunny days (I know, this is Seattle) it's great to sit in the afternoon sun looking out toward Ballard Harbor and salmon fleet. Two bedroom daylight basement apartment with fireplace, laundry and parking. Large living room overlooks the Ballard fishing fleet harbor and Ballard bridge. Quiet. Safe. Restaurants, coffee house, pizza and shopping within blocks. Central Ballard, Fremont and Phinney Ridge a short bike ride away. Full kitchen at your disposal. In-house washer and drier. Private kitchen. WiFi. Xfinity. Flat screen, cable TV. Assigned, covered parking and additional, easy street parking. Local coffee house, restaurant and pizza = 4 blocks away. Mark or Bryan can meet you at the property to welcome you or we can give you a secure door code for 24/7 entry. We have an extensive collection of Seattle activity brochures and detailed instructions for Xfinity, WiFi, the l"
176,4449303,"Private bedroom (queen bed), with walk in closet and your own bathroom, on your own floor of beautiful, newly constructed modern townhome (built in 2009). Access to fully stocked kitchen, washer/dryer as well in house. You will have access to your own floor of a modern, 2 BR townhouse, in the center of the Ballard Brewing District. In addition to a floor with just the guest bedroom, there is a bathroom with shower, as well as a walk in closet. 3 blocks from 6 breweries, 5 blocks from Fred Meyer, 1 block from major bus line. Located on a quiet street with plenty of street parking. Guests will have access to the entire house except the master bed/bath, which is on the third floor. On the first floor is the guest room/bath, on the second floor is a combined Kitchen/Living Room/Dining Room. On the third floor is a washer/dryer which guests will have access to. The kitchen is fully stocked with whatever you would need to use. I'm a software developer, working normal business hours in downto"
177,8255615,"Located in tranquil Ballard. Close to bus lines. Safe on-street parking. Unit boasts queen-size bed, large closet and dresser, full bath and nicely appointed kitchen.  Dining area for three, convertible couch, Olympics view. Easy walk to Ballard. Though larger than an actual one, our unique apartment is in the shape of a caboose.  This is a comfortable, private getaway in Seattle's trendiest neighborhood. The apartment has one bedroom with a queen bed and a convertible couch suitable for a child. With a private entrance, the apartment is completely separate from the owner's house. Guests have free use of the deck and access to the backyard patio and furniture.  Stays of 4+ nights include option of washer/dryer. Apartment has plenty of brochures suggesting all sorts of activities.  Owners are long-time Seattle residents with ideas to share. Close to Slate Coffee, Brimmer & Heeltap, Veraci Pizza, the apartment is  within easy walking distance to Ballard, Woodland Park and Greenlake. We a"
178,4053092,"Private, sunny bedroom and bathroom in upstairs of Ballard Craftsman.  Quiet but hip neighborhood with easy access to Seattle's best places. This is a quiet, roomy, clean and sunny upstairs space in classic Ballard craftsman house.  Skylights, new carpet, desk for working, closet and dresser and queen pillowtop bed.  Very private for being in a shared house.  Linens and towels provided. You will have entire second floor to yourself, as well as use of back porch.  I live on main floor which is not a shared space.  Light use of kitchen is fine (making coffee/tea or storing things in fridge).  Washer and dryer in basement available if needed. I prefer to meet guests in person at check-in if possible.  I'm happy to answer questions, and provide directions or suggestions if needed.  I also have a busy lifestyle, so we may not see  each other much. Ballard has plenty to offer on it's own (house is walking distance to foodie restaurants, coffee shops, dive bars).  Also close to lots of Seattl"
179,6886633,
180,8820414,
181,3052151,"Enjoy your stay in an artsy loft. This quirky split level house has a sun room crafting space, lofted kitchen with a view, and private room complete with a costume closet. Plus coffeeshop, restaurant, beer garden and bus lines are a block away. The house is split into three units. I live in the back upstairs unit. On the main floor is the sunroom living room and the rest is upstairs. The roof top view, cozy sunroom, and artsy quirks make this place a real treat. Not to mention the added bonus of getting to watch the sun set behind the Olympics from the roof top deck. I am an artsy gal and so is my roommate Kerri. We always have lots of art projects happening in and around the house. You'll be living amongst the costumed mannequins, beheaded barbie dolls, and toy capsule prize machine. Guest will have access to the whole back loft of the house. This includes first floor sunroom and laundry and second floor kitchen, bath, 1 bedroom (on the right upstairs), and rooftop deck. You'll share "
182,2339333,
183,1618842,
184,888967,"This modern, light-filled home is comfortable and inviting. With its soaring ceilings and simple finishes, it has a clean, uncluttered aesthetic and is a nice place to unwind after a long day exploring Seattle. A private, light-filled, second-floor room with private full bath in a new 1,915/sf home. This house is Seattle's first net-zero-energy dwelling, meaning it produces all its own power via solar panels on the roof. Featuring an airy, spacious open plan, the house has comfy radiant-heat floors and reclaimed wide-plank wood floors upstairs. The house is located in Seattle's popular Ballard neighborhood and is within walking distance of great restaurants and cafes, the zoo, and other amenities. Ballard Locks, Golden Gardens Park are also nearby. Bus to downtown one block away. High-speed wireless internet available. Guest bedroom, private guest bathroom. There is a bus stop a block away."
185,380950,"Charming Old World Seattle Craftsman Home with Spectacular Views of the City, Ballard Ship Canal, and Sunset over the Olympic Penninsula! Charming Old World Craftsman Home located conveniently within minutes of downtown Seattle, near everything the city has to offer. Nestled amongst the three distinct & neighborhoods of Fremont, Ballard, & Phinney Ridge.  Each neighborhood is within walking distance of the home & each offers unique characteristics, bustling with Restaurants, Cafes, Pubs, Bookstores, Boutique Shops, Grocery, Farmers Markets & much more!  Near main city transit.  Spectacular western mountain, sunset, and Space Needle views. Full window french door out to private, deck with hot tub, BBQ & stunning sunset & mountain views.  Two kitchens, hardwood floors & old world charm, in this updated 1917 beautiful craftsman home.  Cable, Wireless Internet.  Ample on-site parking & in-house laundry. The Home Offers: The first part of the home offers 3 bedrooms, 1 bath, kitchen, living "
186,8097708,"Fall Special! Enjoy some great savings! Our sunny 3BR/1.5BA house in Seattle's Ballard neighborhood is close to lots of trendy spots and family-friendly fun, including the zoo and watersports at Green Lake. Just a 15-minute bus ride from downtown! Fall Special! Enjoy some great savings from now until the end of the year! Feel right at home in our 3BR/1.5BA house in the family-friendly and thriving Ballard neighborhood, a 15-minute bus ride from downtown Seattle. With its elegant coved ceilings, warm hardwood floors throughout, and comfortable indoor and outdoor space, your group of up to 6 will have no trouble settling in.  Lots of activities are just a walk or short bus ride away! We're a mile from the Woodland Park Zoo and close to the Ballard Locks, where you can watch boats pass through.  INSIDE THE HOUSE Enter into the living space, tastefully appointed with lots of plush seating and a wall-mounted flat screen TV. Enjoy your own vacation playlists thanks to handy iPhone speakers. "
187,5671843,"Very light, spacious but quiet and cozy room for two. Conveniently located in the heart of the historic Ballard area.You will be close to all of the shops restaurants, parks and other attractions Ballard can offer.  Very light, spacious but  cozy and quiet room for two. Conveniently located in the heart of the historic Ballard.You will be close to all of the shops and restaurants on Market Street, as well as the Ballard Locks, Fishermen's Terminal, Golden Gardens Park and Green Lake. And it's just a short hop to the University of Washington.  The room itself, and that goes for the entire house, is filled with original art works. The owner, a professional oil painter, uses her home as a gallery and studio. You can get acquainted with the local arts scene in the comfort of your own room.  The room is private, on the third level of a three-story townhouse, and has its own bathroom and shower, electric tea kettle.   We will provide a continental breakfast of fruit, snacks and coffee you wi"
188,904057,"A private mini home away from home in the heart of one of Seattle's Best Neighborhoods! Enjoy your own private mini-home while exploring Seattle.  Conveniently located just blocks from downtown Ballard and an easy 15 minute bus ride from downtown, this quaint yet roomy space is perfect for out of town guests and vacationers.   The 250 square foot space enjoys its own deck space and hot tub.  French doors fully open to the deck to create an indoor/outdoor great room with plenty of outdoor seating. It has a mini kitchen with a 2-burner stove with a mini fridge, microwave, sink and kitchen essentials.  This includes cooking supplies like pans, plates, oil, salt and pepper etc.  We also have a Keirig Coffee Maker with a generous supply of K-Cups. The newly remodeled bath includes a shower with on-demand water.  There is a storage closet in the bath for clothes and extra linens.  If you are staying longer than three days, I will provide fresh towels and linens for you upon request.   The be"
189,7161725,"The suite is two bedrooms and a full bath and is very private. Our home is walking distance to restaurants, coffee shops and the grocery store in Ballard.  It is a modern new home built in 2012. I will interact as much or as little as you would like. A ten minute walk to downtown Ballard. Two bedrooms and a full bath. A private ""suite"" in the downstairs of my home. I will interact as much or as little as you like. Ballard is a Scandinavian fishing village. We are very close to the the water. The bus is less than a block away. I have a sweet dog named Sophie."
190,9587410,"Large bedroom w/queen bed on the upper floor & private bath + bonus twin bed option for 3rd person.  Enjoy your morning coffe in the lovely private back garden. Walking distance to downtown Ballard. Easy bus access to downtown and the U of W. You will enjoy a large upper floor bedroom with queen bed.  The bath has both tub and shower.  The third person will have a single bed under a sloping ceiling.  You are welocme to share the quiet back yard with an assortment of birds. You are welcome to use the kitchen.  Coffee available, make yourself a quick breakfast or cook a piece of  fresh salmon for dinner. Frig space available. Please let me know if you want/need anything.  I love my neighborhood and want your visit to be enjoyable.  I am happy to recommend local things to see and do. Ballard is a trendy neighborhood in the heart of Seattle. It's a wonderful area and very safe. There are many resturants, (nice variety of ethnic foods) live music, shopping, and THE hot area for  breweries. "
191,9202380,"You will adore this corner basement apartment with large windows that soak in the Seattle sunset. Funky mosaic stairs lead to your own cozy suite with king-sized bed located just 1 mile from downtown Fremont, Ballard, or Phinney! The Suite on the Ridge houses one bedroom, a multipurpose room (kitchenette and sleeper couch), and three-quarter bath. It is about 450SF in total. There are large picture windows to draw in every drop of light. This basement apartment has it's own private entrance and patio. If you need a packNplay, or high chair, we can provide that, just let us know! You will have access to the backyard, patio, and apartment. We are happy to discuss laundry options if needed. We can be available for help and to answer questions only when asked. We are right upstairs but respect your space and privacy. Frelard, as it is known, is a wonderful neighborhood on a ridge giving views of the Olympic mountains and the Puget Sound. Walk to ample breweries and restaurants off Leary or"
192,2238105,"A bright craftsman cottage with modern charm in the middle of Seattle's great neighborhoods, Fremont and Ballard. Easily enjoy the trails and ales of Seattle by foot, bike, or bus. Room for 2 in the cozy, sunny space.  Our backyard cottage is a quiet spot for up to 2 people to call home during your visit to lovely Seattle - a bright, cozy, and modern 1b/1b with a private entrance for you to come and go as you please. The cottage is heated to keep you warm. French doors open to the side yard, with built-in benches to enjoy your morning beverages or take in the fresh air.  We provide linens, bath products, a hair dryer, wifi, an electric kettle, tea/instant coffee, a mini-fridge, local brews, and the use of a bike to help you get around while you're here.  We're usually either working, playing, or hanging with our Golden Retriever, Gravy. We'll keep to ourselves, and let you enjoy your peace and quiet!  ""Frellard"" is the heart of 2 of Seattle's great neighborhoods - we're located in the "
193,9545766,"I have a basement rec room with two (URL HIDDEN) is about the size of a twin bed, when folded down...the other is slightly smaller. Very humble accommodations, with a shared bathroom upstairs. Humble space, but clean and located close to downtown Seattle. It's definitely a budget listing. You'll have access to the downstairs basement rec room and the upstairs bathroom. Everything else is shared space. You can enter with a temp code through the garage, or through the front door. I'll be in and out but will generally engage at a minimum. E.g. Make sure all your needs are met, coordinate, cordial conversation, etc. Awesome neighborhood! Ballard is a fun place to be! Tons of great restaurants bars Very close to major bus lines - about 4 blocks from a major bus stop. You're welcome to use the kitchen to store small quantities of food....but not for significant food preparation. Coffee and cereal fine. Scrambled eggs, not so much ."
